Age,Sex,Credit_Score,Income,Loan_Amount,Employment_Years,Existing_Loans,Loan_Approved
26,Male,663,90793,14365,20,3,Yes
47,Male,582,30197,13258,3,3,Yes
25,Male,663,94512,18018,9,1,Yes
41,Male,694,66064,36278,28,2,No
45,Male,609,58552,37357,29,3,No
61,Male,583,65844,18280,10,1,Yes
50,Male,734,97466,17826,2,1,Yes
36,Female,686,74075,38060,21,0,Yes
45,Male,612,17799,34207,20,1,No
30,Female,434,79496,18707,7,1,No
47,Female,656,62171,10806,29,0,No
64,Male,707,28893,7065,25,3,No
48,Male,744,71688,23896,10,3,Yes
30,Female,609,36200,6840,26,1,Yes
61,Male,611,61261,23484,29,3,Yes
60,Female,626,62198,13668,0,0,Yes
26,Female,722,46328,5031,29,0,Yes
29,Male,571,69656,25806,24,3,Yes
22,Female,651,39611,13213,23,3,Yes
33,Female,590,61441,49419,13,3,No
28,Male,680,48148,48636,27,1,No
41,Female,543,54712,26890,19,0,Yes
27,Male,688,92612,6655,7,1,Yes
46,Female,622,60016,49100,12,2,No
22,Male,643,38427,15968,13,2,No
56,Female,699,55889,37660,27,0,Yes
31,Male,745,44153,49236,22,0,Yes
36,Male,532,58476,47131,12,3,Yes
60,Male,735,60914,41600,16,0,No
26,Female,701,59529,45125,3,1,No
31,Female,637,59508,21675,4,1,No
45,Male,765,48199,49618,2,0,Yes
57,Male,674,66085,38257,0,2,No
25,Male,757,77032,40642,28,0,Yes
30,Female,615,46831,39562,14,0,No
41,Male,594,56948,38475,2,2,Yes
23,Female,751,59092,23223,6,3,No
22,Female,822,80567,19395,1,1,Yes
38,Male,707,77428,11441,29,2,Yes
53,Male,726,44859,36442,25,3,Yes
51,Female,624,59302,41454,4,3,No
50,Female,560,31108,16474,17,0,No
29,Female,643,40621,20107,5,2,Yes
45,Female,772,58270,36777,28,3,Yes
32,Male,520,69338,6340,14,0,Yes
63,Male,622,75179,36606,23,1,No
57,Male,516,52405,28899,21,0,No
22,Female,668,33647,13071,13,3,Yes
29,Female,725,65143,46515,17,1,Yes
45,Male,566,54885,49844,14,2,Yes
50,Female,629,65631,49863,14,3,No
54,Female,759,60882,8669,3,3,Yes
43,Female,653,70883,30604,12,0,Yes
58,Female,567,69783,44244,9,2,No
57,Female,561,73184,12705,19,1,No
55,Female,508,49735,6131,0,1,No
25,Male,717,75918,22507,6,1,Yes
49,Female,604,48945,19680,3,3,Yes
55,Male,738,59528,40007,27,3,Yes
41,Male,725,91490,45333,14,2,No
49,Male,610,64422,44884,25,3,No
26,Female,620,37009,26957,5,1,Yes
41,Female,718,84827,12389,1,1,Yes
55,Male,671,76001,8288,15,3,Yes
52,Male,680,78528,46297,11,3,No
59,Female,536,61549,22851,16,3,No
31,Female,727,64224,21337,25,3,No
51,Male,594,53805,34270,18,0,No
39,Male,489,45401,6597,3,0,Yes
53,Male,613,85539,27682,9,3,Yes
24,Male,691,51369,6548,18,3,No
41,Female,817,49347,44551,23,1,Yes
40,Male,632,50017,46543,23,1,Yes
43,Female,560,91522,32493,7,0,No
25,Female,819,73806,49823,0,2,No
33,Female,672,51377,41967,9,0,No
38,Male,640,57178,24165,28,3,Yes
34,Male,579,67188,38629,7,1,No
51,Male,584,73812,30287,4,2,No
63,Female,770,29011,33433,13,0,Yes
31,Male,639,74268,11244,27,2,Yes
34,Male,619,54075,28795,28,0,Yes
25,Male,621,45651,33427,26,2,Yes
36,Male,777,50974,24975,29,3,No
42,Female,615,72254,13677,8,2,Yes
37,Female,707,89651,31636,6,3,No
57,Male,679,60662,42211,6,3,No
26,Female,677,68024,10290,12,0,No
30,Male,594,43347,10482,8,2,Yes
48,Male,709,66844,17141,23,0,Yes
45,Male,780,72807,38903,22,0,No
35,Male,656,31215,30989,6,0,Yes
61,Female,591,48767,15871,27,2,No
25,Female,563,72234,38434,12,1,Yes
51,Female,674,26339,43647,27,2,No
34,Male,639,51269,34076,3,1,No
34,Male,652,68812,7144,22,2,No
37,Male,660,27569,7357,16,2,No
51,Male,549,50860,24171,14,1,No
30,Male,718,58987,40896,22,1,No
60,Male,677,74027,14190,29,1,Yes
28,Male,654,34982,18137,17,3,Yes
43,Female,677,77971,38517,0,0,Yes
49,Female,729,63502,30829,0,0,No
29,Female,664,79543,37614,18,3,Yes
39,Male,596,78937,36848,11,1,Yes
64,Male,747,64134,28019,27,3,No
27,Male,627,66743,45590,23,1,No
58,Male,605,26689,18668,16,2,No
63,Male,542,33697,22792,18,0,No
63,Female,660,39904,8307,3,2,No
51,Female,581,51735,25729,26,3,No
48,Male,621,74798,30119,5,3,Yes
22,Male,693,25898,30129,7,1,Yes
44,Female,662,52240,27101,25,0,No
56,Female,736,34217,29744,29,1,No
34,Male,682,29961,26962,29,1,Yes
28,Male,629,84584,31285,11,1,Yes
62,Male,635,59773,13496,6,3,Yes
56,Female,621,87432,33889,20,2,Yes
64,Female,708,79314,35194,14,0,Yes
51,Male,661,41414,29470,10,1,Yes
60,Female,629,24615,16669,15,2,No
64,Male,723,95261,27331,27,3,No
39,Female,667,50709,7445,16,2,No
27,Female,625,37398,46684,14,3,No
37,Male,546,70441,14330,24,2,Yes
34,Male,692,60456,26995,23,0,No
63,Female,677,45914,13585,28,3,No
62,Male,663,51773,43227,10,0,No
50,Female,627,60903,47058,23,1,No
59,Male,597,59331,41557,2,0,Yes
31,Male,642,71599,13778,21,2,No
45,Female,677,51637,49231,24,3,No
43,Male,650,51823,31912,20,2,Yes
26,Female,649,68811,27729,9,0,Yes
49,Male,624,63633,44152,2,3,Yes
34,Male,685,77696,14219,9,1,Yes
63,Male,677,53501,18003,18,0,No
33,Male,603,56229,27285,8,3,Yes
28,Male,717,37192,21416,12,0,Yes
55,Male,719,84985,24439,24,3,Yes
43,Male,721,32912,27667,0,3,No
43,Female,650,61637,40042,9,0,No
52,Female,645,41944,10713,2,3,Yes
50,Female,573,64072,40124,10,1,No
34,Female,716,71398,14499,19,1,Yes
34,Female,499,28492,20203,5,3,No
58,Male,630,54203,19186,17,1,Yes
29,Male,634,26379,24770,14,1,No
43,Female,724,83277,16057,2,0,Yes
63,Male,659,50023,41194,29,1,Yes
60,Male,587,29622,7835,15,2,Yes
37,Female,552,45365,37549,4,2,No
40,Female,605,81603,10198,13,3,No
50,Male,667,84775,16755,24,2,Yes
38,Female,664,80871,43841,15,0,No
27,Female,645,43881,29791,15,3,Yes
57,Female,608,55258,33710,26,1,Yes
35,Male,644,87425,30189,22,3,Yes
54,Female,734,44831,34075,11,2,No
45,Male,577,51975,13573,4,3,Yes
53,Male,662,40830,18063,27,0,No
55,Male,781,37046,21647,18,2,Yes
62,Male,701,79711,42429,2,0,No
49,Male,625,69352,37454,24,1,No
36,Male,709,66093,27831,15,1,No
63,Female,603,68433,49016,23,3,Yes
64,Male,660,76383,28387,5,1,Yes
54,Female,776,85186,43530,9,1,Yes
56,Female,802,57870,21159,0,0,Yes
53,Female,531,51864,42352,13,2,No
60,Female,712,39571,31067,3,1,Yes
40,Male,806,77481,42406,3,3,Yes
31,Male,619,48730,18713,7,1,Yes
31,Female,679,31097,6292,5,0,No
35,Female,773,53161,33171,6,1,Yes
43,Male,623,58438,43226,21,2,Yes
23,Female,693,72985,36283,16,3,Yes
53,Male,655,76067,10134,2,3,No
36,Male,515,44842,46793,11,0,No
38,Male,685,43596,32566,2,0,No
47,Male,646,52093,23027,4,1,Yes
55,Male,729,36194,43096,11,0,Yes
43,Female,817,56025,10391,23,3,Yes
41,Male,711,66301,11634,28,1,Yes
40,Male,632,58772,14771,5,3,No
22,Male,693,28959,26488,10,1,Yes
35,Male,675,36542,41370,9,3,Yes
32,Male,736,81145,9561,14,0,No
49,Male,552,39759,27048,13,1,No
50,Male,572,71292,35146,7,1,No
30,Male,506,69375,12605,29,3,Yes
55,Male,705,52203,44650,27,1,Yes
58,Male,658,40054,12410,3,0,No
47,Female,611,61787,8501,20,3,No
64,Male,605,42049,22838,28,0,No
50,Male,617,54835,22587,0,2,No
29,Male,590,59908,21543,16,0,No
37,Male,635,45096,15384,26,3,No
22,Male,622,53915,16952,13,3,Yes
40,Male,764,52448,41921,3,2,Yes
61,Female,684,35761,15253,2,1,Yes
22,Male,598,54569,47595,24,3,Yes
31,Female,616,46529,16750,12,1,Yes
56,Male,749,25164,47005,25,0,Yes
27,Male,693,51920,45340,18,0,No
43,Female,682,52906,20799,3,3,Yes
38,Female,714,47111,22688,7,1,Yes
63,Female,778,20889,9123,25,0,Yes
33,Male,568,71969,12880,26,2,No
64,Female,604,70304,17051,22,2,No
54,Female,529,69708,19918,10,2,No
62,Male,697,63847,30258,21,3,No
58,Male,631,35376,11170,20,0,Yes
27,Female,609,60212,11569,4,2,Yes
50,Male,602,41302,24663,19,1,Yes
51,Female,711,97375,27806,10,0,No
64,Female,649,48628,45681,5,3,Yes
53,Female,620,70016,36666,5,0,No
29,Male,754,30055,15420,3,2,Yes
50,Male,581,36766,8967,20,3,No
36,Male,565,48343,7197,20,3,Yes
35,Male,850,70645,9330,12,3,Yes
41,Female,632,67857,12921,3,0,Yes
63,Female,619,63186,25208,15,1,No
35,Male,605,24628,14099,0,1,No
46,Male,649,78365,39437,6,3,No
25,Male,718,41328,33746,1,3,Yes
29,Male,716,87077,21512,25,2,No
64,Female,700,91591,11767,14,3,No
54,Male,639,72871,13147,29,2,Yes
55,Male,548,75791,31698,16,2,Yes
33,Male,681,35296,41281,1,3,No
49,Female,773,104458,14673,26,2,No
26,Male,740,61921,26826,3,0,No
60,Male,647,75996,18893,10,1,Yes
53,Male,720,42552,13752,25,1,Yes
52,Male,631,56829,40019,12,3,Yes
36,Male,655,36636,46742,1,0,No
34,Female,567,53682,42711,10,2,Yes
38,Female,636,58278,25298,4,1,No
48,Male,670,62604,45042,3,1,Yes
54,Male,647,83125,22463,10,1,No
55,Female,717,66655,24883,5,2,No
30,Female,801,62387,35061,15,0,No
52,Male,759,58693,47781,7,3,Yes
55,Female,637,94187,25341,10,3,Yes
37,Male,605,47576,19871,19,3,Yes
44,Female,611,79387,20028,1,2,No
56,Female,586,22697,20653,15,0,Yes
34,Female,662,42199,41401,14,0,No
26,Female,691,65389,9998,3,2,Yes
42,Male,673,55101,30329,17,2,Yes
40,Female,674,112132,13191,4,0,Yes
43,Male,671,104430,5076,0,0,No
44,Female,650,30655,27821,21,3,Yes
40,Male,604,38725,20015,24,0,No
27,Male,789,55443,29660,21,3,Yes
61,Female,738,89324,39928,25,3,Yes
27,Male,591,78461,41303,27,3,No
27,Female,592,63892,31003,23,3,No
28,Female,616,32541,33768,6,3,No
53,Female,662,42804,9739,0,1,Yes
51,Female,754,15000,29828,20,1,Yes
38,Male,736,30373,19563,29,2,Yes
64,Male,740,65717,42642,3,0,No
26,Male,741,72258,36674,26,2,Yes
60,Male,742,34587,14343,17,3,No
35,Male,715,60009,11717,4,1,No
24,Female,694,87343,21401,24,1,Yes
34,Male,651,61014,7262,29,0,Yes
46,Male,529,52564,38036,6,0,No
49,Female,650,69096,7216,10,2,No
38,Female,795,67583,34889,20,3,Yes
27,Male,619,59540,8951,3,0,Yes
62,Male,613,48452,21428,28,0,Yes
51,Female,736,50452,34957,6,1,Yes
31,Female,666,59717,34475,2,2,No
61,Male,623,48205,38197,3,2,Yes
36,Male,776,82089,5055,7,2,Yes
28,Female,706,74166,28213,27,3,No
24,Male,716,77671,8209,13,2,Yes
59,Female,617,94592,15601,24,1,Yes
44,Female,697,86518,26859,7,2,No
31,Male,688,83621,20307,7,3,Yes
